"ID","SENSOR_NAME","READING","UNIT"
1068,"ESP32-S3-METRO",25,"Celsius"
1067,"ESP32-S3-METRO",25,"Celsius"
1066,"ESP32-S3-METRO",25,"Celsius"
1065,"ESP32-S3-METRO",25,"Celsius"
1064,"ESP32-S3-METRO",25,"Celsius"
1063,"ESP32-S3-METRO",25,"Celsius"
1062,"ESP32-S3-METRO",25,"Celsius"
1061,"ESP32-S3-METRO",25,"Celsius"
1060,"ESP32-S3-METRO",25,"Celsius"
1059,"ESP32-S3-METRO",25,"Celsius"
1058,"ESP32-S3-METRO",25,"Celsius"
1057,"ESP32-S3-METRO",25,"Celsius"
1056,"ESP32-S3-METRO",25,"Celsius"
1055,"ESP32-S3-METRO",25,"Celsius"
1054,"ESP32-S3-METRO",25,"Celsius"
1053,"ESP32-S3-METRO",25,"Celsius"
1052,"ESP32-S3-METRO",25,"Celsius"
1051,"ESP32-S3-METRO",25,"Celsius"
1050,"ESP32-S3-METRO",25,"Celsius"
1049,"ESP32-S3-METRO",25,"Celsius"
1048,"ESP32-S3-METRO",25,"Celsius"
1047,"ESP32-S3-METRO",25,"Celsius"
1046,"ESP32-S3-METRO",25,"Celsius"
1045,"ESP32-S3-METRO",25,"Celsius"
1044,"ESP32-S3-METRO",25,"Celsius"
1043,"ESP32-S3-METRO",25,"Celsius"
1042,"ESP32-S3-METRO",25,"Celsius"
1041,"ESP32-S3-METRO",25,"Celsius"
1040,"ESP32-S3-METRO",25,"Celsius"
1039,"ESP32-S3-METRO",25,"Celsius"
1038,"ESP32-S3-METRO",25,"Celsius"
1037,"ESP32-S3-METRO",25,"Celsius"
1036,"ESP32-S3-METRO",25,"Celsius"
1035,"ESP32-S3-METRO",25,"Celsius"
1034,"ESP32-S3-METRO",25,"Celsius"
1033,"ESP32-S3-METRO",25,"Celsius"
1032,"ESP32-S3-METRO",25,"Celsius"
1031,"ESP32-S3-METRO",25,"Celsius"
1030,"ESP32-S3-METRO",25,"Celsius"
1029,"ESP32-S3-METRO",25,"Celsius"
1028,"ESP32-S3-METRO",25,"Celsius"
1027,"ESP32-S3-METRO",25,"Celsius"
1026,"ESP32-S3-METRO",25,"Celsius"
1025,"ESP32-S3-METRO",25,"Celsius"
1024,"ESP32-S3-METRO",25,"Celsius"
1023,"ESP32-S3-METRO",25,"Celsius"
1022,"ESP32-S3-METRO",25,"Celsius"
1021,"ESP32-S3-METRO",25,"Celsius"
1020,"ESP32-S3-METRO",25,"Celsius"
1019,"ESP32-S3-METRO",25,"Celsius"
1018,"ESP32-S3-METRO",25,"Celsius"
1017,"ESP32-S3-METRO",25,"Celsius"
1016,"ESP32-S3-METRO",25,"Celsius"
1015,"ESP32-S3-METRO",25,"Celsius"
1014,"ESP32-S3-METRO",25,"Celsius"
1013,"ESP32-S3-METRO",25,"Celsius"
1012,"ESP32-S3-METRO",25,"Celsius"
1011,"ESP32-S3-METRO",25,"Celsius"
1010,"ESP32-S3-METRO",25,"Celsius"
1009,"ESP32-S3-METRO",25,"Celsius"
1008,"ESP32-S3-METRO",25,"Celsius"
1007,"ESP32-S3-METRO",25,"Celsius"
1006,"ESP32-S3-METRO",25,"Celsius"
1005,"ESP32-S3-METRO",25,"Celsius"
1004,"ESP32-S3-METRO",25,"Celsius"
1003,"ESP32-S3-METRO",25,"Celsius"
1002,"ESP32-S3-METRO",25,"Celsius"
1001,"ESP32-S3-METRO",25,"Celsius"
1000,"ESP32-S3-METRO",25,"Celsius"
999,"ESP32-S3-METRO",25,"Celsius"
998,"ESP32-S3-METRO",25,"Celsius"
997,"ESP32-S3-METRO",25,"Celsius"
996,"ESP32-S3-METRO",25,"Celsius"
995,"ESP32-S3-METRO",25,"Celsius"
994,"ESP32-S3-METRO",25,"Celsius"
993,"ESP32-S3-METRO",25,"Celsius"
992,"ESP32-S3-METRO",25,"Celsius"
991,"ESP32-S3-METRO",25,"Celsius"
990,"ESP32-S3-METRO",25,"Celsius"
989,"ESP32-S3-METRO",25,"Celsius"
988,"ESP32-S3-METRO",25,"Celsius"
987,"ESP32-S3-METRO",25,"Celsius"
986,"ESP32-S3-METRO",25,"Celsius"
985,"ESP32-S3-METRO",25,"Celsius"
984,"ESP32-S3-METRO",25,"Celsius"
983,"ESP32-S3-METRO",25,"Celsius"
982,"ESP32-S3-METRO",25,"Celsius"
981,"ESP32-S3-METRO",25,"Celsius"
980,"ESP32-S3-METRO",25,"Celsius"
979,"ESP32-S3-METRO",25,"Celsius"
978,"ESP32-S3-METRO",25,"Celsius"
977,"ESP32-S3-METRO",25,"Celsius"
976,"ESP32-S3-METRO",25,"Celsius"
975,"ESP32-S3-METRO",25,"Celsius"
974,"ESP32-S3-METRO",25,"Celsius"
973,"ESP32-S3-METRO",25,"Celsius"
972,"ESP32-S3-METRO",25,"Celsius"
971,"ESP32-S3-METRO",25,"Celsius"
970,"ESP32-S3-METRO",25,"Celsius"
969,"ESP32-S3-METRO",25,"Celsius"
968,"ESP32-S3-METRO",25,"Celsius"
967,"ESP32-S3-METRO",25,"Celsius"
966,"ESP32-S3-METRO",25,"Celsius"
965,"ESP32-S3-METRO",25,"Celsius"
964,"ESP32-S3-METRO",25,"Celsius"
963,"ESP32-S3-METRO",25,"Celsius"
962,"ESP32-S3-METRO",25,"Celsius"
961,"ESP32-S3-METRO",25,"Celsius"
960,"ESP32-S3-METRO",25,"Celsius"
959,"ESP32-S3-METRO",25,"Celsius"
958,"ESP32-S3-METRO",25,"Celsius"
957,"ESP32-S3-METRO",25,"Celsius"
956,"ESP32-S3-METRO",25,"Celsius"
955,"ESP32-S3-METRO",25,"Celsius"
954,"ESP32-S3-METRO",25,"Celsius"
953,"ESP32-S3-METRO",25,"Celsius"
952,"ESP32-S3-METRO",25,"Celsius"
951,"ESP32-S3-METRO",25,"Celsius"
950,"ESP32-S3-METRO",25,"Celsius"
949,"ESP32-S3-METRO",25,"Celsius"
948,"ESP32-S3-METRO",25,"Celsius"
947,"ESP32-S3-METRO",25,"Celsius"
946,"ESP32-S3-METRO",25,"Celsius"
945,"ESP32-S3-METRO",25,"Celsius"
944,"ESP32-S3-METRO",25,"Celsius"
943,"ESP32-S3-METRO",25,"Celsius"
942,"ESP32-S3-METRO",25,"Celsius"
941,"ESP32-S3-METRO",25,"Celsius"
940,"ESP32-S3-METRO",25,"Celsius"
939,"ESP32-S3-METRO",25,"Celsius"
938,"ESP32-S3-METRO",25,"Celsius"
937,"ESP32-S3-METRO",25,"Celsius"
936,"ESP32-S3-METRO",25,"Celsius"
935,"ESP32-S3-METRO",25,"Celsius"
934,"ESP32-S3-METRO",25,"Celsius"
933,"ESP32-S3-METRO",25,"Celsius"
932,"ESP32-S3-METRO",25,"Celsius"
931,"ESP32-S3-METRO",25,"Celsius"
930,"ESP32-S3-METRO",25,"Celsius"
929,"ESP32-S3-METRO",25,"Celsius"
928,"ESP32-S3-METRO",25,"Celsius"
927,"ESP32-S3-METRO",25,"Celsius"
926,"ESP32-S3-METRO",25,"Celsius"
925,"ESP32-S3-METRO",25,"Celsius"
924,"ESP32-S3-METRO",25,"Celsius"
923,"ESP32-S3-METRO",25,"Celsius"
922,"ESP32-S3-METRO",25,"Celsius"
921,"ESP32-S3-METRO",25,"Celsius"
920,"ESP32-S3-METRO",25,"Celsius"
919,"ESP32-S3-METRO",25,"Celsius"
918,"ESP32-S3-METRO",25,"Celsius"
917,"ESP32-S3-METRO",25,"Celsius"
916,"ESP32-S3-METRO",25,"Celsius"
915,"ESP32-S3-METRO",25,"Celsius"
914,"ESP32-S3-METRO",25,"Celsius"
913,"ESP32-S3-METRO",25,"Celsius"
912,"ESP32-S3-METRO",25,"Celsius"
911,"ESP32-S3-METRO",25,"Celsius"
910,"ESP32-S3-METRO",25,"Celsius"
909,"ESP32-S3-METRO",25,"Celsius"
908,"ESP32-S3-METRO",25,"Celsius"
907,"ESP32-S3-METRO",25,"Celsius"
906,"ESP32-S3-METRO",25,"Celsius"
905,"ESP32-S3-METRO",25,"Celsius"
904,"ESP32-S3-METRO",25,"Celsius"
903,"ESP32-S3-METRO",25,"Celsius"
902,"ESP32-S3-METRO",25,"Celsius"
901,"ESP32-S3-METRO",25,"Celsius"
900,"ESP32-S3-METRO",25,"Celsius"
899,"ESP32-S3-METRO",25,"Celsius"
898,"ESP32-S3-METRO",25,"Celsius"
897,"ESP32-S3-METRO",25,"Celsius"
896,"ESP32-S3-METRO",25,"Celsius"
895,"ESP32-S3-METRO",25,"Celsius"
894,"ESP32-S3-METRO",25,"Celsius"
893,"ESP32-S3-METRO",25,"Celsius"
892,"ESP32-S3-METRO",25,"Celsius"
891,"ESP32-S3-METRO",25,"Celsius"
890,"ESP32-S3-METRO",25,"Celsius"
889,"ESP32-S3-METRO",25,"Celsius"
888,"ESP32-S3-METRO",25,"Celsius"
887,"ESP32-S3-METRO",25,"Celsius"
886,"ESP32-S3-METRO",25,"Celsius"
885,"ESP32-S3-METRO",25,"Celsius"
884,"ESP32-S3-METRO",25,"Celsius"
883,"ESP32-S3-METRO",25,"Celsius"
882,"ESP32-S3-METRO",25,"Celsius"
881,"ESP32-S3-METRO",25,"Celsius"
880,"ESP32-S3-METRO",25,"Celsius"
879,"ESP32-S3-METRO",25,"Celsius"
878,"ESP32-S3-METRO",25,"Celsius"
877,"ESP32-S3-METRO",25,"Celsius"
876,"ESP32-S3-METRO",25,"Celsius"
875,"ESP32-S3-METRO",25,"Celsius"
874,"ESP32-S3-METRO",25,"Celsius"
873,"ESP32-S3-METRO",25,"Celsius"
872,"ESP32-S3-METRO",25,"Celsius"
871,"ESP32-S3-METRO",25,"Celsius"
870,"ESP32-S3-METRO",25,"Celsius"
869,"ESP32-S3-METRO",25,"Celsius"
868,"ESP32-S3-METRO",25,"Celsius"
867,"ESP32-S3-METRO",25,"Celsius"
866,"ESP32-S3-METRO",25,"Celsius"
865,"ESP32-S3-METRO",25,"Celsius"
864,"ESP32-S3-METRO",25,"Celsius"
863,"ESP32-S3-METRO",25,"Celsius"
862,"ESP32-S3-METRO",25,"Celsius"
861,"ESP32-S3-METRO",25,"Celsius"
860,"ESP32-S3-METRO",25,"Celsius"
859,"ESP32-S3-METRO",25,"Celsius"
858,"ESP32-S3-METRO",25,"Celsius"
857,"ESP32-S3-METRO",25,"Celsius"
856,"ESP32-S3-METRO",25,"Celsius"
855,"ESP32-S3-METRO",25,"Celsius"
854,"ESP32-S3-METRO",25,"Celsius"
853,"ESP32-S3-METRO",25,"Celsius"
852,"ESP32-S3-METRO",25,"Celsius"
851,"ESP32-S3-METRO",25,"Celsius"
850,"ESP32-S3-METRO",25,"Celsius"
849,"ESP32-S3-METRO",25,"Celsius"
848,"ESP32-S3-METRO",25,"Celsius"
847,"ESP32-S3-METRO",25,"Celsius"
846,"ESP32-S3-METRO",25,"Celsius"
845,"ESP32-S3-METRO",25,"Celsius"
844,"ESP32-S3-METRO",25,"Celsius"
843,"ESP32-S3-METRO",25,"Celsius"
842,"ESP32-S3-METRO",25,"Celsius"
841,"ESP32-S3-METRO",25,"Celsius"
840,"ESP32-S3-METRO",25,"Celsius"
839,"ESP32-S3-METRO",25,"Celsius"
838,"ESP32-S3-METRO",25,"Celsius"
837,"ESP32-S3-METRO",25,"Celsius"
836,"ESP32-S3-METRO",25,"Celsius"
835,"ESP32-S3-METRO",25,"Celsius"
834,"ESP32-S3-METRO",25,"Celsius"
833,"ESP32-S3-METRO",25,"Celsius"
832,"ESP32-S3-METRO",25,"Celsius"
831,"ESP32-S3-METRO",25,"Celsius"
830,"ESP32-S3-METRO",25,"Celsius"
829,"ESP32-S3-METRO",25,"Celsius"
828,"ESP32-S3-METRO",25,"Celsius"
827,"ESP32-S3-METRO",25,"Celsius"
826,"ESP32-S3-METRO",25,"Celsius"
825,"ESP32-S3-METRO",25,"Celsius"
824,"ESP32-S3-METRO",25,"Celsius"
823,"ESP32-S3-METRO",25,"Celsius"
822,"ESP32-S3-METRO",25,"Celsius"
821,"ESP32-S3-METRO",25,"Celsius"
820,"ESP32-S3-METRO",25,"Celsius"
819,"ESP32-S3-METRO",25,"Celsius"
818,"ESP32-S3-METRO",25,"Celsius"
817,"ESP32-S3-METRO",25,"Celsius"
816,"ESP32-S3-METRO",25,"Celsius"
815,"ESP32-S3-METRO",25,"Celsius"
814,"ESP32-S3-METRO",25,"Celsius"
813,"ESP32-S3-METRO",25,"Celsius"
812,"ESP32-S3-METRO",25,"Celsius"
811,"ESP32-S3-METRO",25,"Celsius"
810,"ESP32-S3-METRO",25,"Celsius"
809,"ESP32-S3-METRO",25,"Celsius"
808,"ESP32-S3-METRO",25,"Celsius"
807,"ESP32-S3-METRO",25,"Celsius"
806,"ESP32-S3-METRO",25,"Celsius"
805,"ESP32-S3-METRO",25,"Celsius"
804,"ESP32-S3-METRO",25,"Celsius"
803,"ESP32-S3-METRO",25,"Celsius"
802,"ESP32-S3-METRO",25,"Celsius"
801,"ESP32-S3-METRO",25,"Celsius"
800,"ESP32-S3-METRO",25,"Celsius"
799,"ESP32-S3-METRO",25,"Celsius"
798,"ESP32-S3-METRO",25,"Celsius"
797,"ESP32-S3-METRO",25,"Celsius"
796,"ESP32-S3-METRO",25,"Celsius"
795,"ESP32-S3-METRO",25,"Celsius"
794,"ESP32-S3-METRO",25,"Celsius"
793,"ESP32-S3-METRO",25,"Celsius"
792,"ESP32-S3-METRO",25,"Celsius"
791,"ESP32-S3-METRO",25,"Celsius"
790,"ESP32-S3-METRO",25,"Celsius"
789,"ESP32-S3-METRO",25,"Celsius"
788,"ESP32-S3-METRO",25,"Celsius"
787,"ESP32-S3-METRO",25,"Celsius"
786,"ESP32-S3-METRO",25,"Celsius"
785,"ESP32-S3-METRO",25,"Celsius"
784,"ESP32-S3-METRO",25,"Celsius"
783,"ESP32-S3-METRO",25,"Celsius"
782,"ESP32-S3-METRO",25,"Celsius"
781,"ESP32-S3-METRO",25,"Celsius"
780,"ESP32-S3-METRO",25,"Celsius"
779,"ESP32-S3-METRO",25,"Celsius"
778,"ESP32-S3-METRO",25,"Celsius"
777,"ESP32-S3-METRO",25,"Celsius"
776,"ESP32-S3-METRO",25,"Celsius"
775,"ESP32-S3-METRO",25,"Celsius"
774,"ESP32-S3-METRO",25,"Celsius"
773,"ESP32-S3-METRO",25,"Celsius"
772,"ESP32-S3-METRO",25,"Celsius"
771,"ESP32-S3-METRO",25,"Celsius"
770,"ESP32-S3-METRO",25,"Celsius"
769,"ESP32-S3-METRO",25,"Celsius"
768,"ESP32-S3-METRO",25,"Celsius"
767,"ESP32-S3-METRO",25,"Celsius"
766,"ESP32-S3-METRO",25,"Celsius"
765,"ESP32-S3-METRO",25,"Celsius"
764,"ESP32-S3-METRO",25,"Celsius"
763,"ESP32-S3-METRO",25,"Celsius"
762,"ESP32-S3-METRO",25,"Celsius"
761,"ESP32-S3-METRO",25,"Celsius"
760,"ESP32-S3-METRO",25,"Celsius"
759,"ESP32-S3-METRO",25,"Celsius"
758,"ESP32-S3-METRO",25,"Celsius"
757,"ESP32-S3-METRO",25,"Celsius"
756,"ESP32-S3-METRO",25,"Celsius"
755,"ESP32-S3-METRO",25,"Celsius"
754,"ESP32-S3-METRO",25,"Celsius"
753,"ESP32-S3-METRO",25,"Celsius"
752,"ESP32-S3-METRO",25,"Celsius"
751,"ESP32-S3-METRO",25,"Celsius"
750,"ESP32-S3-METRO",25,"Celsius"
749,"ESP32-S3-METRO",25,"Celsius"
